date,component,quantity,unit,usd_per_month,usd_per_day,note
2026-09-08,gcs-buckets,0.0,GB,0.0,0.0,0 buckets
2026-09-08,idle-static-ips,0.0,addresses,0.0,0.0,"2 total, 2 attached and therefore free"
2026-09-08,load-balancers,4.0,forwarding rules,18.25,0.6083,flat rate covers the first five rules
2026-09-08,snapshots,3194.6,GB,83.06,2.7687,"701 snapshots; grows daily, check retention"
2026-09-09,gcs-buckets,0.0,GB,0.0,0.0,0 buckets
2026-09-09,idle-static-ips,0.0,addresses,0.0,0.0,"2 total, 2 attached and therefore free"
2026-09-09,load-balancers,4.0,forwarding rules,18.25,0.6083,flat rate covers the first five rules
2026-09-09,snapshots,3199.4,GB,83.18,2.7728,"702 snapshots; grows daily, check retention"
2026-09-10,gcs-buckets,0.0,GB,0.0,0.0,0 buckets
2026-09-10,idle-static-ips,0.0,addresses,0.0,0.0,"2 total, 2 attached and therefore free"
2026-09-10,load-balancers,4.0,forwarding rules,18.25,0.6083,flat rate covers the first five rules
2026-09-10,snapshots,3215.9,GB,83.61,2.7871,"703 snapshots; grows daily, check retention"
2026-09-11,gcs-buckets,0.0,GB,0.0,0.0,0 buckets
2026-09-11,idle-static-ips,0.0,addresses,0.0,0.0,"2 total, 2 attached and therefore free"
2026-09-11,load-balancers,4.0,forwarding rules,18.25,0.6083,flat rate covers the first five rules
2026-09-11,snapshots,3239.6,GB,84.23,2.8076,"704 snapshots; grows daily, check retention"
