date,bucket,node_hours,usd,basis
2026-08-25,base,0.0,2.4,estimated:gke-cluster-fee
2026-08-25,base,0.0,0.6083,estimated:load-balancers
2026-08-25,base,0.0,6.7619,estimated:oss-cluster
2026-08-25,base,0.0,2.8151,estimated:snapshots
2026-08-25,base,0.0,24.137,estimated:storage
2026-08-25,base,230.08,31.0897,measured
2026-08-25,cpu,115.67,33.0097,measured
2026-08-25,gpu,4.5,3.914,measured
2026-08-26,base,0.0,2.4,estimated:gke-cluster-fee
2026-08-26,base,0.0,0.6083,estimated:load-balancers
2026-08-26,base,0.0,6.7619,estimated:oss-cluster
2026-08-26,base,0.0,2.8151,estimated:snapshots
2026-08-26,base,0.0,24.137,estimated:storage
2026-08-26,base,240.0,32.4298,measured
2026-08-26,cpu,253.25,71.5624,measured
2026-08-26,gpu,5.33,4.6386,measured
2026-08-27,base,0.0,2.4,estimated:gke-cluster-fee
2026-08-27,base,0.0,0.6083,estimated:load-balancers
2026-08-27,base,0.0,6.7619,estimated:oss-cluster
2026-08-27,base,0.0,2.8151,estimated:snapshots
2026-08-27,base,0.0,24.137,estimated:storage
2026-08-27,base,216.67,29.2769,measured
2026-08-27,cpu,135.33,38.5014,measured
2026-08-27,gpu,66.83,58.1305,measured
2026-08-28,base,0.0,2.4,estimated:gke-cluster-fee
2026-08-28,base,0.0,0.6083,estimated:load-balancers
2026-08-28,base,0.0,6.7619,estimated:oss-cluster
2026-08-28,base,0.0,2.8151,estimated:snapshots
2026-08-28,base,0.0,24.137,estimated:storage
2026-08-28,base,240.0,32.4298,measured
2026-08-28,cpu,193.83,54.7726,measured
2026-08-28,gpu,15.33,13.3364,measured
2026-08-29,base,0.0,2.4,estimated:gke-cluster-fee
2026-08-29,base,0.0,0.6083,estimated:load-balancers
2026-08-29,base,0.0,6.7619,estimated:oss-cluster
2026-08-29,base,0.0,2.8151,estimated:snapshots
2026-08-29,base,0.0,24.137,estimated:storage
2026-08-29,base,240.0,32.4298,measured
2026-08-29,cpu,62.25,17.5904,measured
2026-08-29,gpu,3.5,3.0443,measured
