date,pool,bucket,node_hours,peak_nodes,min_nodes,mean_nodes,source
2026-08-25,core-pool,base,230.083,10,9,9.59,measured
2026-08-25,nb-gpu-t4,gpu,4.5,1,1,1.0,measured
2026-08-25,nb-n2-highmem-16,cpu,0.417,1,1,1.0,measured
2026-08-25,nb-n2-highmem-4-a,cpu,115.25,7,2,4.8,measured
2026-08-26,core-pool,base,240.0,10,10,10.0,measured
2026-08-26,nb-gpu-t4,gpu,5.333,4,1,1.16,measured
2026-08-26,nb-n2-highmem-4-a,cpu,253.25,16,3,10.55,measured
2026-08-27,core-pool,base,216.667,10,10,10.0,measured
2026-08-27,nb-gpu-t4,gpu,66.833,35,1,6.91,measured
2026-08-27,nb-n2-highmem-16,cpu,0.333,1,1,1.0,measured
2026-08-27,nb-n2-highmem-4-a,cpu,135.0,16,2,6.23,measured
2026-08-28,core-pool,base,240.0,10,10,10.0,measured
2026-08-28,nb-gpu-t4,gpu,15.333,4,1,1.25,measured
2026-08-28,nb-n2-highmem-4-a,cpu,193.833,16,2,8.08,measured
2026-08-29,core-pool,base,240.0,10,10,10.0,measured
2026-08-29,nb-gpu-t4,gpu,3.5,4,1,1.24,measured
2026-08-29,nb-n2-highmem-4-a,cpu,62.25,4,2,2.59,measured
2026-08-30,core-pool,base,240.0,10,10,10.0,measured
2026-08-30,nb-gpu-t4,gpu,8.25,4,1,3.41,measured
2026-08-30,nb-n2-highmem-4-a,cpu,63.0,4,2,2.62,measured
2026-08-31,core-pool,base,240.0,10,10,10.0,measured
2026-08-31,nb-gpu-t4,gpu,12.25,2,1,1.28,measured
2026-08-31,nb-n2-highmem-4-a,cpu,182.25,16,2,7.59,measured
2026-09-01,core-pool,base,256.667,20,10,10.73,measured
2026-09-01,nb-gpu-t4,gpu,54.5,9,1,4.51,measured
2026-09-01,nb-n2-highmem-4-a,cpu,131.5,9,2,5.5,measured
2026-09-02,core-pool,base,240.0,10,10,10.0,measured
2026-09-02,nb-gpu-t4,gpu,14.333,2,1,1.02,measured
2026-09-02,nb-n2-highmem-4-a,cpu,253.75,16,5,10.57,measured
2026-09-03,core-pool,base,240.0,10,10,10.0,measured
2026-09-03,nb-gpu-t4,gpu,62.083,12,1,8.56,measured
2026-09-03,nb-n2-highmem-4-a,cpu,110.25,8,2,4.59,measured
2026-09-04,core-pool,base,239.167,10,10,10.0,measured
2026-09-04,nb-gpu-t4,gpu,18.833,6,1,3.23,measured
2026-09-04,nb-n2-highmem-4-a,cpu,172.333,16,2,7.21,measured
2026-09-05,core-pool,base,239.167,10,10,10.0,measured
2026-09-05,nb-gpu-t4,gpu,4.75,1,1,1.0,measured
2026-09-05,nb-n2-highmem-4-a,cpu,47.833,2,2,2.0,measured
2026-09-06,core-pool,base,240.0,10,10,10.0,measured
2026-09-06,nb-gpu-t4,gpu,7.667,1,1,1.0,measured
2026-09-06,nb-n2-highmem-4-a,cpu,69.417,4,2,2.89,measured
2026-09-07,core-pool,base,240.0,10,10,10.0,measured
2026-09-07,nb-gpu-t4,gpu,2.167,1,1,1.0,measured
2026-09-07,nb-n2-highmem-4-a,cpu,132.333,16,2,5.51,measured
2026-09-08,core-pool,base,240.0,10,10,10.0,measured
2026-09-08,nb-gpu-t4,gpu,63.167,12,1,7.5,measured
2026-09-08,nb-n2-highmem-4-a,cpu,181.083,11,2,7.55,measured
2026-09-09,core-pool,base,240.0,10,10,10.0,measured
2026-09-09,nb-gpu-t4,gpu,71.667,12,1,3.91,measured
2026-09-09,nb-n2-highmem-4-a,cpu,174.0,16,3,7.25,measured
2026-09-10,core-pool,base,240.0,10,10,10.0,measured
2026-09-10,nb-gpu-t4,gpu,95.167,20,1,5.03,measured
2026-09-10,nb-n2-highmem-4-a,cpu,81.167,5,2,3.38,measured
2026-09-11,core-pool,base,240.0,10,10,10.0,measured
2026-09-11,nb-gpu-t4,gpu,44.167,8,1,3.06,measured
2026-09-11,nb-n2-highmem-4-a,cpu,167.417,16,2,6.98,measured
2026-09-12,core-pool,base,240.0,10,10,10.0,measured
2026-09-12,nb-gpu-t4,gpu,8.5,1,1,1.0,measured
2026-09-12,nb-n2-highmem-4-a,cpu,48.0,2,2,2.0,measured
