college,where,all-users,all-users-ever-active,summer_2022,fall_2022,spring_2023,summer_2023,fall_2023,spring_2024,summer_2024,fall_2024,spring_2025,summer_2025,fall_2025,spring_2026,summer_2026,fall_2026,spring_2027
Chabot CC,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarke Atlanta University,cloudbank,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Chaffey College,cloudbank,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
Berkeley CC,cloudbank,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
"Borough of Manhattan Community College, CUNY",cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll University,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berea College,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicago State University,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise State University,cloudbank,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
Community College San Francisco,cloudbank,144,138,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0
Computing Research Association,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carnegie Mellon University,cloudbank,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Clark University,cloudbank,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
Cloud County Community College,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAnza College,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
College of San Mateo,cloudbank,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
CSU San Marcos,cloudbank,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0
East LA College,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Camino Community College,cloudbank,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0
Eastern Michigan University,cloudbank,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
East Tennessee State,cloudbank,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Paso Community College,cloudbank,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
